날짜,채널,상품,수량,단가,매출
2026-08-24,쿠팡,대용량,2,56000,110880
2026-08-24,쿠팡,리필 2개입,1,56000,55440
2026-08-24,오프라인,체험판,1,12000,12000
2026-08-24,오프라인,선물 포장,1,12000,12000
2026-08-24,쿠팡,기본 세트,3,39000,115830
2026-08-24,오프라인,체험판,3,18000,54000
2026-08-24,쿠팡,기본 세트,3,12000,35640
2026-08-25,스마트스토어,리필 2개입,1,56000,61600
2026-08-25,스마트스토어,대용량,2,39000,85800
2026-08-25,쿠팡,리필 2개입,3,18000,53460
2026-08-25,네이버 블로그,대용량,1,12000,11640
2026-08-26,네이버 블로그,대용량,3,12000,34920
2026-08-26,네이버 블로그,선물 포장,1,56000,54320
2026-08-26,네이버 블로그,기본 세트,1,56000,54320
2026-08-26,스마트스토어,대용량,1,24000,26400
2026-08-26,오프라인,기본 세트,1,12000,12000
2026-08-26,인스타 공구,리필 2개입,1,39000,40560
2026-08-26,오프라인,대용량,2,12000,24000
2026-08-27,인스타 공구,선물 포장,2,12000,24960
2026-08-27,네이버 블로그,선물 포장,1,39000,37830
2026-08-27,스마트스토어,리필 2개입,1,12000,13200
2026-08-27,스마트스토어,기본 세트,2,39000,85800
2026-08-27,인스타 공구,체험판,1,39000,40560
2026-08-27,쿠팡,리필 2개입,3,18000,53460
2026-08-27,오프라인,대용량,1,39000,39000
2026-08-27,오프라인,리필 2개입,1,24000,24000
2026-08-28,네이버 블로그,기본 세트,1,18000,17460
2026-08-28,오프라인,체험판,3,56000,168000
2026-08-28,스마트스토어,기본 세트,1,18000,19800
2026-08-28,오프라인,선물 포장,1,56000,56000
2026-08-28,네이버 블로그,선물 포장,2,12000,23280
2026-08-28,스마트스토어,기본 세트,1,56000,61600
2026-08-28,인스타 공구,기본 세트,3,24000,74880
2026-08-28,네이버 블로그,체험판,2,18000,34920
2026-08-29,오프라인,체험판,1,39000,39000
2026-08-29,인스타 공구,리필 2개입,2,18000,37440
2026-08-29,쿠팡,리필 2개입,3,18000,53460
