질문,답변,카테고리,수정일
영업시간이 어떻게 되나요?,"평일 10:00~19:00, 토요일 10:00~15:00 입니다. 일요일과 공휴일은 쉽니다.",기본정보,2026-09-01
주차 되나요?,"건물 지하 주차장을 쓰실 수 있고 2시간 무료입니다. 이후에는 30분에 1,000원입니다.",기본정보,2026-09-01
예약 없이 가도 되나요?,"가능하지만 대기가 있을 수 있습니다. 주말은 예약을 권해 드립니다.",예약,2026-09-10
예약 취소는 어떻게 하나요?,"예약 시간 24시간 전까지는 전액 환불됩니다. 이후에는 예약금의 50%가 차감됩니다.",예약,2026-09-10
환불 규정이 어떻게 되나요?,"수업 시작 전 100%, 1회차 수강 후 80%, 이후에는 잔여 회차 기준으로 환불됩니다. 자세한 기준은 계약서 3조에 있습니다.",환불,2026-08-20
수업료가 얼마인가요?,"1:1은 회당 6만 원, 그룹(3인)은 회당 3만 원입니다. 10회 등록 시 10% 할인됩니다.",가격,2026-09-05
초보자도 할 수 있나요?,"네. 수강생의 절반 이상이 처음 시작하시는 분들입니다. 첫 시간에 수준을 보고 맞춰 드립니다.",수업,2026-08-20
준비물이 있나요?,"편한 복장과 실내용 운동화만 챙겨 오시면 됩니다. 매트와 도구는 준비되어 있습니다.",수업,2026-08-20
샤워실이 있나요?,"남녀 각각 샤워실 2칸씩 있습니다. 수건은 1,000원에 대여해 드립니다.",시설,2026-09-01
아이와 같이 가도 되나요?,"수업 중에는 안전 문제로 어렵습니다. 대기 공간에서 보호자와 함께 기다리실 수 있습니다.",시설,2026-09-12
결제 수단은 무엇이 되나요?,"카드, 계좌이체, 간편결제 모두 됩니다. 현금영수증도 발행해 드립니다.",가격,2026-09-05
위치가 어디인가요?,"2호선 OO역 3번 출구에서 도보 5분입니다. 자세한 약도는 홈페이지 오시는 길에 있습니다.",기본정보,2026-09-01
